IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count
0,0,95,28,47,0,0,0
0,0,35,10,18,0,0,0
0,0,138,41,72,0,0,0
0,0,116,34,59,0,0,0
0,0,130,38,67,0,0,0
0,0,148,43,80,0,0,0
0,0,100,28,50,0,0,0
0,0,116,34,59,0,0,0
0,0,99,24,60,0,0,0
0,0,138,41,72,0,0,0
0,0,121,35,62,0,0,0
0,0,127,36,70,0,0,0
0,0,139,40,75,0,0,0
0,0,121,36,65,0,0,0
0,0,144,42,78,0,0,0
0,0,138,41,72,0,0,0
0,0,121,35,62,0,0,0
0,0,122,33,65,0,0,0
0,0,149,44,79,0,0,0
0,0,132,38,69,0,0,0
